"","Name","Age","Since","Current.Position","company_code","company_name"
"2665","Jean Tomlin",63,2013,"Non-Executive Independent Director","SBRY","SAINSBURY(J)"
"2666","James Collins",NA,2017,"Head of Investor Relations","SBRY","SAINSBURY(J)"
"2667","Nicholas Ferguson",70,2016,"Non-Executive Independent Chairman of the Board","SVS","SAVILLS"
"2668","Mark Ridley",NA,2019,"Group Chief Executive Officer","SVS","SAVILLS"
"2669","Simon Shaw",NA,2009,"Group Chief Financial Officer, Executive Director","SVS","SAVILLS"
"2670","Michael Colacino",NA,NA,"President of Savills Studley","SVS","SAVILLS"
"2671","Raymond Lee",49,2011,"Chief Executive - Savills Group in Hong Kong, Macau and Greater China","SVS","SAVILLS"
"2672","Christian Mancini",NA,2016,"Chief Executive – Asia Pacific","SVS","SAVILLS"
"2673","Justin O'Connor",NA,2015,"Chief Executive – Savills Investment Management","SVS","SAVILLS"
"2674","Mitchell Steir",NA,NA,"Chairman, Chief Executive Officer of Savills Studley","SVS","SAVILLS"
"2675","Simon Hope",NA,2011,"Global Head - Capital Markets","SVS","SAVILLS"
"2676","Christopher Michael Lee",NA,2010,"Group Legal Director, Company Secretary","SVS","SAVILLS"
"2677","Stacey Cartwright",53,2018,"Additional Non-Executive Independent Director","SVS","SAVILLS"
"2678","Timothy Freshwater",73,2012,"Non-Executive Independent Director","SVS","SAVILLS"
"2679","Liz Hewitt",62,2014,"Non-Executive Independent Director","SVS","SAVILLS"
"2680","Charles McVeigh",NA,2000,"Non-Executive Independent Director","SVS","SAVILLS"
"2681","Rupert Robson",58,NA,"Non-Executive Independent Director","SVS","SAVILLS"
"2682","Florence Tondu-Melique",NA,2018,"Additional Non-Executive Independent Director","SVS","SAVILLS"
"2683","Nicholas Smith",NA,2016,"Independent Non-Executive Chairman of the Board","SDP","SCHRODER ASIA"
"2684","Keith Craig",NA,2016,"Independent Non-Executive Director","SDP","SCHRODER ASIA"
"2685","Vivien Gould",59,2019,"Independent Non-Executive Director","SDP","SCHRODER ASIA"
"2686","Rosemary Morgan",NA,2018,"Senior Independent Non-Executive Director","SDP","SCHRODER ASIA"
"2687","Martin Porter",NA,2017,"Independent Non-Executive Director","SDP","SCHRODER ASIA"
"2688","James Williams",NA,2016,"Independent Non-Executive Director","SDP","SCHRODER ASIA"
"2689","Michael Dobson",65,2016,"Non-Executive Chairman of the Board","SDR","SCHRODERS"
"2690","Peter Harrison",51,2016,"Group Chief Executive Officer, Executive Director","SDR","SCHRODERS"
"2691","Richard Keers",54,2013,"Chief Financial Officer, Executive Director","SDR","SCHRODERS"
"2692","Karl Dasher",48,2016,"Chief Executive Officer - North America and Co-Head of Fixed Income","SDR","SCHRODERS"
"2693","Lieven Debruyne",48,NA,"Chief Executive Officer - Asia Pacific","SDR","SCHRODERS"
"2694","Stewart Carmichael",52,NA,"Chief Technology Officer","SDR","SCHRODERS"
"2695","Howard Trust",63,NA,"General Counsel","SDR","SCHRODERS"
"2696","Emma Holden",43,2014,"Global Head of Human Resources","SDR","SCHRODERS"
"2697","Johanna Kyrklund",NA,2016,"Global Head of Multi-Asset Investments","SDR","SCHRODERS"
"2698","Philippe Lespinard",54,NA,"Co-Head - Fixed Income","SDR","SCHRODERS"
"2699","Richard Mountford",59,2016,"Head of Planning, Adviser to the Group Chief Executive","SDR","SCHRODERS"
"2700","Charles Prideaux",51,2017,"Global Head - Product and Solutions","SDR","SCHRODERS"
"2701","Nicky Richards",51,2014,"Global Head - Equities","SDR","SCHRODERS"
"2702","Andrew Ross",58,2016,"Global Head of Wealth Management","SDR","SCHRODERS"
"2703","Carolyn Sims",52,NA,"Chief Financial Officer of Wealth Management","SDR","SCHRODERS"
"2704","John Troiano",59,2016,"Global Head of Distribution","SDR","SCHRODERS"
"2705","Graham Staples",56,NA,"Group Company Secretary","SDR","SCHRODERS"
"2706","Damon Buffini",55,2018,"Non-Executive Director","SDR","SCHRODERS"
"2707","Philip Mallinckrodt",55,2017,"Non-Executive Director","SDR","SCHRODERS"
"2708","Leonie Schroder",44,2019,"Non-independent Non-Executive Director","SDR","SCHRODERS"
"2709","Ian King",61,2018,"Senior Independent Director","SDR","SCHRODERS"
"2710","Rhian Davies",53,2015,"Independent Non-Executive Director","SDR","SCHRODERS"
"2711","Rakhi Goss-Custard",43,2017,"Non-Executive Independent Director","SDR","SCHRODERS"
"2712","Nichola Pease",56,2012,"Independent Non-Executive Director","SDR","SCHRODERS"
"2713","Deborah Waterhouse",51,2019,"Independent Non-Executive Director","SDR","SCHRODERS"
"2714","James Will",NA,2016,"Non-Executive Independent Chairman of the Board","SCIN","SCOT.INV.TST."
"2715","Alasdair McKinnon",NA,2015,"Manager","SCIN","SCOT.INV.TST."
"2716","Mick Brewis",NA,2015,"Non-Executive Independent Director","SCIN","SCOT.INV.TST."
"2717","Karyn Lamont",NA,2017,"Non-Executive Independent Director","SCIN","SCOT.INV.TST."
"2718","Jane Lewis",NA,2015,"Non-Executive Independent Director","SCIN","SCOT.INV.TST."
"2719","Russell Napier",NA,2009,"Non-Executive Independent Director","SCIN","SCOT.INV.TST."
"2720","Fiona McBain",NA,2017,"Non-Executive Independent Chairman of the Board","SMT","SCOTTISH MORT"
"2721","Justin Dowley",57,2015,"Non-Executive Independent Director","SMT","SCOTTISH MORT"
"2722","John Kay",NA,2017,"Non-Executive Senior Independent Director","SMT","SCOTTISH MORT"
"2723","Patrick Maxwell",NA,2016,"Non-Executive Independent Director","SMT","SCOTTISH MORT"
"2724","Paola Subacchi",NA,2014,"Non-Executive Independent Director","SMT","SCOTTISH MORT"
"2725","Gerald Corbett",NA,2016,"Non-Executive Independent Chairman of the Board","SGRO","SEGRO"
"2726","David Sleath",57,2011,"Chief Executive Officer, Executive Director","SGRO","SEGRO"
"2727","Soumen Das",41,2017,"Chief Financial Officer, Executive Director","SGRO","SEGRO"
"2728","Harry Stokes",NA,2019,"Commercial Finance Director","SGRO","SEGRO"
"2729","Andrew Gulliford",NA,2013,"Chief Operating Officer, Executive Director","SGRO","SEGRO"
"2730","Phil Redding",NA,2013,"Chief Investment Officer, Executive Director","SGRO","SEGRO"
"2731","Elizabeth Blease",NA,2008,"General Counsel, Group Company Secretary","SGRO","SEGRO"
"2732","Nick Hughes",NA,2013,"Director of Marketing & Communications","SGRO","SEGRO"
"2733","Liz Reilly",NA,2010,"Group Human Resources Director","SGRO","SEGRO"
"2734","Laurence Giard",NA,2008,"Head Of Corporate Acquisitions","SGRO","SEGRO"
"2735","Jim Hartley",NA,2001,"Business Unit Director, Northern Europe","SGRO","SEGRO"
"2736","Alan Holland",NA,2000,"Business Unit Direct - Greater London","SGRO","SEGRO"
"2737","Gareth Osborn",NA,2019,"Business Unit Director, Thames Valley","SGRO","SEGRO"
"2738","Octavia Peters",NA,2019,"Operations Finance Director","SGRO","SEGRO"
"2739","Andrew Pilsworth",NA,2019,"Business Unit Director, National Logistics","SGRO","SEGRO"
"2740","James Power",NA,2019,"Director of Digital & Technology","SGRO","SEGRO"
"2741","David Proctor",NA,2004,"Head of Investment - Continental Europe","SGRO","SEGRO"
"2742","Simon Pursey",NA,2008,"Head of UK Investment","SGRO","SEGRO"
"2743","Marco Simonetti",NA,2007,"Business Unit Director - Southern Europe","SGRO","SEGRO"
"2744","Magdalena Szulc",NA,2002,"Business Unit Director - Central Europe","SGRO","SEGRO"
"2745","Mary Barnard",NA,2019,"Independent Non-Executive Director","SGRO","SEGRO"
"2746","Susan Clayton",61,2018,"Independent Non-Executive Director","SGRO","SEGRO"
"2747","Carol Fairweather",57,2018,"Independent Non-Executive Director","SGRO","SEGRO"
"2748","Christopher Fisher",NA,2012,"Independent Non-Executive Director","SGRO","SEGRO"
"2749","Martin Moore",61,2018,"Senior Independent Non-Executive Director","SGRO","SEGRO"
"2750","Douglas Webb",NA,2010,"Independent Non-Executive Director","SGRO","SEGRO"
"2751","Ian King",61,2018,"Non-Executive Chairman of the Board - Designate","SNR","SENIOR"
"2752","David Squires",52,2017,"Group Chief Executive, Executive Director","SNR","SENIOR"
"2753","Bindi Foyle",NA,2017,"Group Finance Director, Executive Director","SNR","SENIOR"
"2754","Launie Fleming",NA,2008,"Chief Executive Officer - Aerospace Fluid Systems","SNR","SENIOR"
"2755","Joe Mockus",NA,2017,"Chief Executive - Aerospace Structures","SNR","SENIOR"
"2756","Michael Sheppard",NA,2009,"Chief Executive Officer - Flexonics","SNR","SENIOR"
"2757","Jane Johnston",NA,2016,"Group Human Resources Director","SNR","SENIOR"
"2758","David Beavan",NA,2014,"Director - Business Development & Strategy","SNR","SENIOR"
"2759","Michelle Yorke",NA,2018,"Director of Risk and Compliance","SNR","SENIOR"
"2760","Andrew Bodenham",NA,2002,"Group Company Secretary","SNR","SENIOR"
"2761","Rajiv Sharma",NA,2019,"Non-Executive Director","SNR","SENIOR"
"2762","Celia Baxter",61,2013,"Independent Non-Executive Director","SNR","SENIOR"
"2763","Susan Brennan",NA,2016,"Independent Non-Executive Director","SNR","SENIOR"
"2764","Giles Kerr",57,2013,"Independent Non-Executive Director","SNR","SENIOR"
"2765","Mark Vernon",66,2016,"Senior Independent Non-Executive Director","SNR","SENIOR"
"2766","Gulshen Patel",NA,2017,"Director - Investor Relations and Corporate Communications","SNR","SENIOR"
"2767","Robert Jennings",61,NA,"Non-Executive Independent Chairman of the Board","SEQI","SEQUOIA ECO"
"2768","Jonathan Ronald Bridel",53,NA,"Non-Executive Independent Director","SEQI","SEQUOIA ECO"
"2769","Jan Pethick",68,NA,"Non-Executive Independent Director","SEQI","SEQUOIA ECO"
"2770","Sandra Platts",58,NA,"Non-Executive Independent Director","SEQI","SEQUOIA ECO"
"2771","Roy Gardner",NA,2015,"Independent Non-Executive Chairman of the Board","SRP","SERCO GRP."
"2772","Rupert Soames",NA,2014,"Group Chief Executive Officer, Executive Director","SRP","SERCO GRP."
"2773","Angus Cockburn",NA,2014,"Group Chief Financial Officer, Executive Director","SRP","SERCO GRP."
"2774","David Eveleigh",NA,2014,"Group General Counsel, Company Secretary","SRP","SERCO GRP."
"2775","Eric Born",NA,2019,"Non-Executive Independent Director","SRP","SERCO GRP."
"2776","Kirsty Bashforth",NA,2017,"Non-Executive Independent Director","SRP","SERCO GRP."
"2777","Ian El-Mokadem",NA,2017,"Non-Executive Independent Director","SRP","SERCO GRP."
"2778","Rachel Lomax",NA,2014,"Non-Executive Independent Director","SRP","SERCO GRP."
"2779","Lynne Peacock",65,2017,"Non-Executive Independent Director","SRP","SERCO GRP."
"2780","John Rishton",61,2019,"Senior Non-Executive Independent Director","SRP","SERCO GRP."
"2781","Stuart Ford",NA,NA,"Investor Relations","SRP","SERCO GRP."
"2782","Andrew Duff",59,2010,"Non-Executive Chairman of the Board","SVT","SEVERN TRENT"
"2783","Olivia Garfield",42,2014,"Chief Executive Officer, Director","SVT","SEVERN TRENT"
"2784","James Bowling",49,2015,"Chief Financial Officer, Executive Director","SVT","SEVERN TRENT"
"2785","Bronagh Kennedy",54,2011,"Group General Counsel, Company Secretary","SVT","SEVERN TRENT"
"2786","James Jesic",39,2017,"Managing Director of Production","SVT","SEVERN TRENT"
"2787","Andrew Smith",57,2015,"Managing Director - Business Services","SVT","SEVERN TRENT"
"2788","Neil Morrison",44,2017,"Director of Human Resources","SVT","SEVERN TRENT"
"2789","Anthony Ballance",53,2015,"Director - Strategy and Regulation","SVT","SEVERN TRENT"
"2790","Sarah Bentley",46,2014,"Chief Customer Officer","SVT","SEVERN TRENT"
"2791","Martin Kane",65,2015,"Chief Engineer","SVT","SEVERN TRENT"
"2792","Helen Miles",47,2014,"Chief Commercial Director","SVT","SEVERN TRENT"
"2793","Kevin Beeston",55,2016,"Senior Independent Non-Executive Director","SVT","SEVERN TRENT"
"2794","John Coghlan",60,2014,"Independent Non-Executive Director","SVT","SEVERN TRENT"
"2795","Dominique Reiniche",63,2016,"Independent Non-Executive Director","SVT","SEVERN TRENT"
"2796","Philip Remnant",NA,2014,"Independent Non-Executive Director","SVT","SEVERN TRENT"
"2797","Angela Strank",66,2014,"Independent Non-Executive Director","SVT","SEVERN TRENT"
"2798","Richard Tunnicliffe",NA,2017,"Investor Relations Manager","SVT","SEVERN TRENT"
"2799","Jonathan Nicholls",61,2016,"Independent Non-Executive Chairman of the Board","SHB","SHAFTESBURY"
"2800","Brian Bickell",NA,2011,"Chief Executive, Executive Director","SHB","SHAFTESBURY"
"2801","Christopher Ward",NA,2012,"Finance Director, Executive Director","SHB","SHAFTESBURY"
"2802","Simon Quayle",NA,1997,"Executive Director","SHB","SHAFTESBURY"
"2803","Thomas Welton",NA,1997,"Executive Director","SHB","SHAFTESBURY"
"2804","Sam Bain-Mollinson",NA,NA,"Head - Retail","SHB","SHAFTESBURY"
"2805","Karen Baines",NA,NA,"Head - Group Marketing & Communications","SHB","SHAFTESBURY"
"2806","Rob Kirk",NA,NA,"Portfolio Executive","SHB","SHAFTESBURY"
"2807","Charles Owen",NA,NA,"Portfolio Executive","SHB","SHAFTESBURY"
"2808","Andrew Price",NA,NA,"Portfolio Executive","SHB","SHAFTESBURY"
"2809","Julia Wilkinson",NA,NA,"Portfolio & Group Restaurant Strategy Executive","SHB","SHAFTESBURY"
"2810","Penny Thomas",NA,NA,"Company Secretary","SHB","SHAFTESBURY"
"2811","Jill Little",66,2019,"Non-Executive Director","SHB","SHAFTESBURY"
"2812","Jennelle Tilling",NA,2019,"Non-Executive Director","SHB","SHAFTESBURY"
"2813","Richard Akers",55,2019,"Senior Non-Executive Independent Director","SHB","SHAFTESBURY"
"2814","Dermot Mathias",NA,2012,"Non-Executive Independent Director","SHB","SHAFTESBURY"
"2815","Sally Walden",NA,2012,"Non-Executive Independent Director","SHB","SHAFTESBURY"
"2816","Andrew Allner",64,2017,"Non-Executive Chairman of the Board","SHI","SIG"
"2817","Norman Adsetts",NA,NA,"President","SHI","SIG"
"2818","Meinie Oldersma",58,2017,"Chief Executive Officer, Executive Director","SHI","SIG"
"2819","Nicholas Maddock",47,2017,"Chief Financial Officer, Executive Director, IR Contact Officer","SHI","SIG"
"2820","Richard Monro",NA,NA,"Company Secretary","SHI","SIG"
"2821","Kate Allum",NA,2019,"Non-Executive Director","SHI","SIG"
"2822","Gillian Kent",NA,2019,"Non-Executive Director","SHI","SIG"
"2823","Andrea Abt",NA,2015,"Non-Executive Independent Director","SHI","SIG"
"2824","Ian Duncan",56,2017,"Non-Executive Independent Director","SHI","SIG"
"2825","Alan Lovell",62,2018,"Senior Non-Executive Independent Director","SHI","SIG"
"2826","Russell Scrimshaw",69,2011,"Non-Executive Chairman of the Board","SXX","SIRIUS MINERALS"
"2827","Christopher Fraser",44,2011,"Chief Executive Officer, Managing Director, Executive Director","SXX","SIRIUS MINERALS"
"2828","Thomas Staley",38,2017,"Chief Financial Officer, Finance Director","SXX","SIRIUS MINERALS"
"2829","Nicholas King",NA,2017,"General Counsel, Secretary","SXX","SIRIUS MINERALS"
"2830","Elizabeth Harwerth",71,2017,"Senior Independent Director","SXX","SIRIUS MINERALS"
"2831","Keith Clarke",66,2017,"Non-Executive Independent Director","SXX","SIRIUS MINERALS"
"2832","Louise Hardy",52,2017,"Independent Non-Executive Director","SXX","SIRIUS MINERALS"
"2833","John Hutton",63,2012,"Non-Executive Independent Director","SXX","SIRIUS MINERALS"
"2834","Jane Lodge",64,2015,"Non-Executive Independent Director","SXX","SIRIUS MINERALS"
"2835","Gareth Davis",NA,2017,"Non-Executive Independent Chairman of the Board","SMDS","SMITH(DS)"
"2836","Miles Roberts",52,2010,"Group Chief Executive, Executive Director","SMDS","SMITH(DS)"
"2837","Adrian Marsh",NA,2013,"Group Finance Director, Executive Director","SMDS","SMITH(DS)"
"2838","Iain Simm",NA,2016,"Group General Counsel, Company Secretary","SMDS","SMITH(DS)"
"2839","David Robbie",58,2019,"Non-Executive Director","SMDS","SMITH(DS)"
"2840","Rupert Soames",NA,2019,"Non-Executive Director","SMDS","SMITH(DS)"
"2841","Christopher Britton",60,2013,"Non-Executive Independent Director","SMDS","SMITH(DS)"
"2842","Jonathan Nicholls",61,2012,"Senior Non-Executive Independent Director","SMDS","SMITH(DS)"
"2843","Kathleen O'Donovan",58,2012,"Non-Executive Independent Director","SMDS","SMITH(DS)"
"2844","Louise Smalley",50,2014,"Non-Executive Independent Director","SMDS","SMITH(DS)"
"2845","Hugo Fisher",NA,2015,"Group Communications Director","SMDS","SMITH(DS)"
"2846","George Buckley",72,2013,"Non-Executive Independent Chairman of the Board","SMIN","SMITHS GROUP"
"2847","Andrew Smith",52,2015,"Chief Executive, Executive Director","SMIN","SMITHS GROUP"
"2848","John Shipsey",54,2018,"Chief Financial Officer, Executive Director","SMIN","SMITHS GROUP"
"2849","Roland Carter",NA,2018,"President, Smiths Detection and Asia Pacific","SMIN","SMITHS GROUP"
"2850","Christopher Holmes",59,2017,"President - Smiths Medical","SMIN","SMITHS GROUP"
"2851","Tedd Smith",NA,2002,"President, Flex-Tek","SMIN","SMITHS GROUP"
"2852","Jean Vernet",NA,2017,"President - John Crane","SMIN","SMITHS GROUP"
"2853","Melanie Rowlands",NA,2018,"Group General Counsel","SMIN","SMITHS GROUP"
"2854","Sheena Mackay",NA,2016,"Group Human Resources Director","SMIN","SMITHS GROUP"
"2855","Julian Fagge",NA,2017,"Group Strategy and M&A Director","SMIN","SMITHS GROUP"
"2856","Philippe Roman",NA,2016,"Group Operations Director","SMIN","SMITHS GROUP"
"2857","John Mills",NA,2018,"Company Secretary","SMIN","SMITHS GROUP"
"2858","Bruno Angelici",72,2010,"Non-Executive Independent Director","SMIN","SMITHS GROUP"
"2859","Olivier Bohuon",59,2018,"Non-Executive Independent Director","SMIN","SMITHS GROUP"
"2860","Ann Dowling",66,2018,"Independent Non-Executive Director","SMIN","SMITHS GROUP"
"2861","Tanya Fratto",59,2012,"Non-Executive Independent Director","SMIN","SMITHS GROUP"
"2862","William Seeger",64,2018,"Non-Executive Independent Director","SMIN","SMITHS GROUP"
"2863","Mark Seligman",NA,2016,"Non-Executive Independent Director","SMIN","SMITHS GROUP"
"2864","Noel Tata",62,2017,"Non-Executive Independent Director","SMIN","SMITHS GROUP"
"2865","Jemma Spalton",NA,2017,"Director of Investor Relations","SMIN","SMITHS GROUP"
"2866",NA,NA,NA,NA,"SCT","SOFTCAT"
"2867",NA,NA,NA,NA,"SCT","SOFTCAT"
"2868","Peter Gyenes",73,2015,"Non-Executive Chairman of the Board","SOPH","SOPHOS GRP"
"2869","Kristof Hagerman",51,NA,"Chief Executive Officer, Executive Director","SOPH","SOPHOS GRP"
"2870","Nick Bray",NA,NA,"Chief Financial Officer, Executive Director","SOPH","SOPHOS GRP"
"2871","Eleanor Lacey",NA,2016,"General Counsel, Company Secretary","SOPH","SOPHOS GRP"
"2872","Chloe Barry",NA,NA,"Group Company Secretary","SOPH","SOPHOS GRP"
"2873","Roy Mackenzie",47,2015,"Non-Executive Director","SOPH","SOPHOS GRP"
"2874","Sandra Bergeron",60,2015,"Non-Executive Independent Director","SOPH","SOPHOS GRP"
"2875","Rick Medlock",NA,2017,"Independent Non-Executive Director","SOPH","SOPHOS GRP"
"2876","Vinodka Murria",NA,2017,"Non-Executive Independent Director","SOPH","SOPHOS GRP"
"2877","Paul Walker",60,2015,"Senior Non-Executive Independent Director","SOPH","SOPHOS GRP"
"2878","Mark Williamson",61,2017,"Non-Executive Independent Chairman of the Board","SXS","SPECTRIS"
"2879","Andrew Heath",55,2018,"Chief Executive Officer, Executive Director","SXS","SPECTRIS"
"2880","Derek Harding",NA,2019,"Chief Financial Officer","SXS","SPECTRIS"
"2881","Mark Serfozo",NA,2019,"General Counsel, Executive Director, Company Secretary","SXS","SPECTRIS"
"2882","John O'Higgins",NA,2018,"Executive Director","SXS","SPECTRIS"
"2883","Karim Bitar",54,2017,"Non-Executive Independent Director","SXS","SPECTRIS"
"2884","Russell King",61,2015,"Senior Non-Executive Independent Director","SXS","SPECTRIS"
"2885","Ulf Quellmann",53,2015,"Non-Executive Independent Director","SXS","SPECTRIS"
"2886","William Seeger",67,2015,"Non-Executive Independent Director","SXS","SPECTRIS"
"2887","Kjersti Wiklund",56,2017,"Non-Executive Independent Director","SXS","SPECTRIS"
"2888","Martha Wyrsch",61,2012,"Non-Executive Independent Director","SXS","SPECTRIS"
"2889","Siobhan Andrews",NA,2016,"Head of Corporate Affairs","SXS","SPECTRIS"
"2890","James Pike",63,2018,"Non-Executive Independent Chairman of the Board","SPX","SPIRAX-SARCO"
"2891","Nicholas Anderson",56,2014,"Group Chief Executive Officer, Executive Director","SPX","SPIRAX-SARCO"
"2892","Kevin Boyd",NA,2016,"Group Finance Director, Executive Director","SPX","SPIRAX-SARCO"
"2893","Andy Robson",54,2012,"General Counsel, Company Secretary","SPX","SPIRAX-SARCO"
"2894","Neil Daws",54,2018,"Managing Director - Steam Specialties Business, Executive Director","SPX","SPIRAX-SARCO"
"2895","James Whalen",60,2012,"Executive Director - WMFTG","SPX","SPIRAX-SARCO"
"2896","Sean Clay",NA,2018,"Divisional Director Spirax Sarco - Europe, Middle East and Africa","SPX","SPIRAX-SARCO"
"2897","Peter France",NA,2018,"Non-Executive Independent Director","SPX","SPIRAX-SARCO"
"2898","Caroline Johnstone",57,2019,"Independent Non-Executive Director","SPX","SPIRAX-SARCO"
"2899","Jane Kingston",60,2016,"Non-Executive Independent Director","SPX","SPIRAX-SARCO"
"2900","G. Schoolenberg",57,2019,"Senior Non-Executive Independent Director","SPX","SPIRAX-SARCO"
"2901","Kevin Thompson",56,2019,"Non-Executive Independent Director","SPX","SPIRAX-SARCO"
"2902","Bill Thomas",NA,2017,"Non-Executive Independent Chairman of the Board","SPT","SPIRENT"
"2903","Eric Updyke",NA,2019,"Chief Executive Officer-Designate Director","SPT","SPIRENT"
"2904","Paula Bell",48,2016,"Chief Financial Officer, Executive Director","SPT","SPIRENT"
"2905","Angus Iveson",NA,2014,"General Counsel, Company Secretary","SPT","SPIRENT"
"2906","Wendy Koh",NA,2018,"Non-Executive Director","SPT","SPIRENT"
"2907","Edgar Masri",NA,2018,"Non-Executive Director","SPT","SPIRENT"
"2908","Gary Bullard",60,2016,"Non-Executive Independent Director","SPT","SPIRENT"
"2909","Jonathan Silver",NA,2016,"Senior Non-Executive Independent Director","SPT","SPIRENT"
"2910","David Daly",NA,2018,"Non-Executive Chairman of the Board","SPD","SPORTSDIRECT"
"2911","Michael Ashley",NA,2016,"Chief Executive Officer, Executive Director","SPD","SPORTSDIRECT"
"2912","Jonathan Kempster",NA,2017,"Chief Financial Officer, Executive Director","SPD","SPORTSDIRECT"
"2913","Chris Wootton",NA,NA,"Deputy Chief Financial Officer","SPD","SPORTSDIRECT"
"2914","Richard Bottomley",NA,2018,"Non-Executive Director","SPD","SPORTSDIRECT"
"2915","Nicola Frampton",NA,2018,"Non-Executive Director","SPD","SPORTSDIRECT"
"2916","Cally Price",NA,2019,"Non-Executive Workforce Director","SPD","SPORTSDIRECT"
"2917","David Brayshaw",NA,2016,"Non-Executive Independent Director","SPD","SPORTSDIRECT"
"2918","Cameron Olsen",NA,2014,"Company Secretary","SPD","SPORTSDIRECT"
"2919","Richard Gillingwater",63,2015,"Non-Executive Chairman of the Board","SSE","SSE"
"2920","Alistair Phillips-Davies",NA,2013,"Chief Executive Officer, Executive Director","SSE","SSE"
"2921","Gordon Boyd",59,2019,"Chief Financial Officer","SSE","SSE"
"2922","Gregor Alexander",NA,2002,"Finance Director, Executive Director","SSE","SSE"
"2923","Stephen Forbes",NA,2019,"Managing Director","SSE","SSE"
"2924","Tony Keeling",NA,2019,"Managing Director","SSE","SSE"
"2925","Colin Nicol",NA,2016,"Managing Director - Networks","SSE","SSE"
"2926","Martin Pibworth",NA,2017,"Executive Director, Wholesale Director","SSE","SSE"
"2927","Sally Fairbairn",NA,2016,"Company Secretary","SSE","SSE"
"2928","Tony Cocker",NA,2018,"Non-Executive Director","SSE","SSE"
"2929","Melanie Smith",NA,2019,"Non-Executive Director","SSE","SSE"
"2930","Susan Bruce",NA,2013,"Non-Executive Independent Director","SSE","SSE"
"2931","Crawford Gillies",NA,2015,"Senior Independent Non-Executive Director","SSE","SSE"
"2932","Peter Lynas",60,2014,"Non-Executive Independent Director","SSE","SSE"
"2933","Helen Mahy",NA,2016,"Non-Executive Independent Director","SSE","SSE"
"2934","Vagn Sorensen",NA,2006,"Non-Executive Chairman of the Board","SSPG","SSP GRP"
"2935","Simon Smith",NA,2019,"Chief Executive Officer","SSPG","SSP GRP"
"2936","Jonathan Davies",NA,2014,"Chief Financial Officer, Executive Director","SSPG","SSP GRP"
"2937","Helen Byrne",NA,2007,"General Counsel, Company Secretary","SSPG","SSP GRP"
"2938","Kathryn Swann",NA,2019,"Executive Director","SSPG","SSP GRP"
"2939","John Barton",NA,2014,"Senior Independent Non Executive Director","SSPG","SSP GRP"
"2940","Carolyn Bradley",NA,2018,"Non-Executive Independent Director","SSPG","SSP GRP"
"2941","Ian Dyson",NA,2014,"Independent Non-Executive Director","SSPG","SSP GRP"
"2942","Per Utnegaard",NA,2015,"Independent Non-Executive Director","SSPG","SSP GRP"
"2943","Sarah John",NA,2015,"IR Contact Officer","SSPG","SSP GRP"
"2944","Danuta Gray",59,2019,"Non-Executive Chairman of the Board","SMP","ST.MODWEN PROP."
"2945","Mark Allan",NA,2016,"Chief Executive, Executive Director","SMP","ST.MODWEN PROP."
"2946","Robert Hudson",NA,2017,"Chief Financial Officer, Executive Director","SMP","ST.MODWEN PROP."
"2947","Andrew Eames",NA,2017,"General Counsel, Company Secretary","SMP","ST.MODWEN PROP."
"2948","Jane Saint",NA,NA,"Group Human Resources Director","SMP","ST.MODWEN PROP."
"2949","Guy Gusterson",NA,2017,"Property Director – Midlands and North","SMP","ST.MODWEN PROP."
"2950","Rupert Joseland",NA,2017,"Property Director – West and Wales","SMP","ST.MODWEN PROP."
"2951","Richard Powell",NA,2017,"Construction Director","SMP","ST.MODWEN PROP."
"2952","Tim Seddon",NA,2017,"Property Director – South East","SMP","ST.MODWEN PROP."
"2953","Remco Simon",38,NA,"Director - Strategy and Research","SMP","ST.MODWEN PROP."
"2954","Rupert Wood",NA,2017,"Property Director – West and Wales","SMP","ST.MODWEN PROP."
"2955","Simon Clarke",NA,2004,"Non-Executive Director","SMP","ST.MODWEN PROP."
"2956","Ian Bull",NA,2018,"Senior Non-Executive Independent Director","SMP","ST.MODWEN PROP."
"2957","Jenefer Greenwood",NA,2017,"Non-Executive Independent Director","SMP","ST.MODWEN PROP."
"2958","Jamie Hopkins",NA,2018,"Non-Executive Independent Director","SMP","ST.MODWEN PROP."
"2959","Brian Souter",63,2013,"Non-Executive Chairman of the Board","SGC","STAGECOACH"
"2960","Martin Griffiths",NA,2013,"Chief Executive, Executive Director","SGC","STAGECOACH"
"2961","William Whitehorn",57,2016,"Senior Non-Executive Independent Deputy Chairman of the Board","SGC","STAGECOACH"
"2962","Ross Paterson",45,2013,"Finance Director, Executive Director","SGC","STAGECOACH"
"2963","Mike Vaux",NA,2013,"Company Secretary","SGC","STAGECOACH"
"2964","James Bilefield",48,2016,"Non-Executive Director","SGC","STAGECOACH"
"2965","Dame Gadhia",NA,2019,"Non-Executive Director","SGC","STAGECOACH"
"2966","Ann Gloag",74,2000,"Non-Executive Director","SGC","STAGECOACH"
"2967","Ray O'Toole",61,2016,"Non-Executive Director","SGC","STAGECOACH"
"2968","Karen Thomson",55,2016,"Non-Executive Director","SGC","STAGECOACH"
"2969","Gregor Alexander",NA,2013,"Independent Non-Executive Director","SGC","STAGECOACH"
"2970","Ewan Brown",75,1988,"Independent Non-Executive Director","SGC","STAGECOACH"
"2971","Jose Vinals",64,2016,"Group Chairman of the Board","STAN","STAND.CHART."
